Statistical profiling result from .\isolate-000001F9E0ABE580-20512-v8.log, (20519 ticks, 24 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  15856   77.3%          C:\WINDOWS\SYSTEM32\ntdll.dll
   3807   18.6%          D:\Programs\nodejs\node.exe
     17    0.1%          C:\WINDOWS\system32\mswsock.dll
     15    0.1%          C:\WINDOWS\System32\KERNELBASE.dll
      5    0.0%          C:\WINDOWS\System32\KERNEL32.DLL
      2    0.0%          C:\WINDOWS\System32\WS2_32.dll

 [JavaScript]:
   ticks  total  nonlib   name
     52    0.3%    6.4%  LazyCompile: *parse D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\parser.js:269:30
     31    0.2%    3.8%  LazyCompile: *wrap D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\code-gen.js:101:22
     28    0.1%    3.4%  LazyCompile: *resolve node:path:158:10
     21    0.1%    2.6%  LazyCompile: *next D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\parser.js:478:32
     17    0.1%    2.1%  LazyCompile: *serializeInto D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\bson\lib\parser\serializer.js:553:23
     15    0.1%    1.8%  LazyCompile: *SourceNode_walk D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\source-map\lib\source-node.js:221:53
     11    0.1%    1.3%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
     11    0.1%    1.3%  LazyCompile: *next D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express\lib\router\index.js:177:16
     11    0.1%    1.3%  LazyCompile: *compile D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\javascript-compiler.js:73:28
      8    0.0%    1.0%  RegExp: ^(?:[^\x00]*?(?=(\{\{)))
      8    0.0%    1.0%  RegExp: (?:\r\n?|\n).*
      8    0.0%    1.0%  LazyCompile: *fulfilled D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express-handlebars\dist\express-handlebars.js:21:27
      8    0.0%    1.0%  LazyCompile: *_write node:internal/streams/writable:283:16
      8    0.0%    1.0%  LazyCompile: *<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express-handlebars\dist\express-handlebars.js:167:47
      7    0.0%    0.9%  LazyCompile: *template D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\runtime.js:52:18
      7    0.0%    0.9%  LazyCompile: *step D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express-handlebars\dist\express-handlebars.js:31:18
      7    0.0%    0.9%  LazyCompile: *onwrite node:internal/streams/writable:425:17
